#,Product,Size,UPC
1,Coca-Cola Original,355 mL Can,670000082901
2,Coca-Cola Zero Sugar,355 mL Can,670000067908
3,Diet Coke,355 mL Can,670000092801
4,Diet Coke Caffeine Free,355 mL Can,670000092979
5,Fanta Orange,355 mL Can,670000043392
6,Fanta Grape,355 mL Can,670000041862
7,Fanta Cream Soda,355 mL Can,670000041558
8,Barq's Root Beer,355 mL Can,670000013769
9,Coca-Cola Cherry,355 mL Can,670000072489
10,Coca-Cola Vanilla,500 mL Bottle,670000067519
11,Coca-Cola Orange Vanilla,500 mL Bottle,670000067816
12,Coca-Cola Zero Orange Vanilla,500 mL Bottle,670000067915
13,Fanta Orange,500 mL Bottle,670000116279
14,Sprite,710 mL Bottle,670001040158
15,Sprite Zero,710 mL Bottle,670000038751
16,Coca-Cola Original,1 L Bottle,670000041626
17,Coca-Cola Original,2 L Bottle,670000042784
18,Coca-Cola Zero Sugar,2 L Bottle,670001066829
19,Diet Coke,2 L Bottle,670000089790
20,Sprite,2 L Bottle,670000050604
